CLASS,START,STOP
CSCb,2006-03-09 07:15:00,2006-03-09 09:00:00
CSCb,2006-03-09 21:30:00,2006-03-09 22:45:00
CSCb,2006-03-11 13:30:00,2006-03-11 15:00:00
MP,2006-03-12 00:30:00,2006-03-12 03:20:00
MP,2006-03-12 07:40:00,2006-03-12 08:40:00
MP,2006-03-12 12:30:00,2006-03-12 15:30:00
MP,2006-03-12 18:40:00,2006-03-12 21:45:00
MP,2006-03-12 23:30:00,2006-03-13 01:00:00
MP,2006-03-13 02:00:00,2006-03-13 02:45:00
MP,2006-03-13 04:30:00,2006-03-13 06:00:00
MP,2006-03-13 13:15:00,2006-03-13 14:00:00
MP,2006-03-13 14:30:00,2006-03-13 16:00:00
MP,2006-03-13 19:00:00,2006-03-13 20:00:00
MP,2006-03-14 23:00:00,2006-03-14 00:15:00
CSCb,2006-03-16 21:50:00,2006-03-16 23:40:00
CSCb,2006-03-17 00:40:00,2006-03-17 03:30:00
MP,2006-03-17 06:00:00,2006-03-17 07:00:00
MP,2006-03-17 11:30:00,2006-03-17 12:45:00
MP,2006-03-17 14:30:00,2006-03-17 15:45:00
MP,2006-03-17 19:10:00,2006-03-17 21:30:00
CSCb,2006-03-17 21:40:00,2006-03-18 00:00:00
CSCb,2006-03-18 01:00:00,2006-03-18 02:00:00
CSCb,2006-03-18 03:10:00,2006-03-18 04:40:00
CSCb,2006-03-18 05:45:00,2006-03-18 07:00:00
CSCb,2006-03-18 11:00:00,2006-03-18 11:40:00
CSCb,2006-03-19 22:30:00,2006-03-19 23:10:00
CSCb,2006-03-22 23:00:00,2006-03-23 00:00:00
CSCb,2006-03-23 02:15:00,2006-03-23 04:15:00
CSCb,2006-03-23 13:00:00,2006-03-23 14:00:00
CSCb,2006-03-24 02:50:00,2006-03-24 05:00:00
CSCb,2006-03-25 00:00:00,2006-03-25 04:00:00
MP,2006-03-25 10:40:00,2006-03-25 11:30:00
CSCb,2006-03-25 11:00:00,2006-03-25 12:00:00
CSCb,2006-03-26 20:50:00,2006-03-26 22:45:00
CSCb,2006-03-27 08:00:00,2006-03-27 09:00:00
CSCb,2006-03-27 18:30:00,2006-03-27 20:00:00
CSCb,2006-03-27 22:15:00,2006-03-27 23:00:00
CSCb,2006-03-28 06:30:00,2006-03-28 07:15:00
CSCb,2006-03-29 04:45:00,2006-03-29 05:30:00
CSCb,2006-03-29 06:40:00,2006-03-29 07:25:00
CSCb,2006-03-29 10:45:00,2006-03-29 11:30:00
CSCb,2006-03-30 00:45:00,2006-03-30 04:30:00
CSCb,2006-03-30 15:45:00,2006-03-30 16:20:00
CSCb,2006-03-30 10:45:00,2006-03-30 11:25:00
CSCb,2006-03-31 19:00:00,2006-03-31 19:45:00
CSCb,2006-04-01 00:15:00,2006-04-01 00:45:00
CSCb,2006-04-02 04:45:00,2006-04-02 05:30:00
CSCb,2006-04-03 12:30:00,2006-04-03 17:30:00
CSCb,2006-04-03 22:30:00,2006-04-04 03:00:00
CSCb,2006-04-05 03:15:00,2006-04-05 16:45:00
CSE,2006-04-07 15:30:00,2006-04-07 16:59:00
CSE,2006-04-07 17:00:00,2006-04-07 17:30:00
