CLASS,START,STOP
CSE,1992-02-06 23:00:00,1992-02-06 07:00:00
CSCb,1992-02-06 07:10:00,1992-02-06 07:50:00
CSE,1992-02-06 08:00:00,1992-02-07 14:20:00
CSCb,1992-02-07 14:30:00,1992-02-07 15:10:00
CSCb,1992-02-07 16:00:00,1992-02-07 17:00:00
CSE,1992-02-07 18:00:00,1992-02-08 13:00:00
CSCa,1992-02-08 14:00:00,1992-02-08 15:00:00
CSCa,1992-02-08 15:01:00,1992-02-08 19:00:00
CSE,1992-02-08 19:10:00,1992-02-09 05:30:00
CSCb,1992-02-09 06:00:00,1992-02-09 08:30:00
CSE,1992-02-09 09:00:00,1992-02-09 15:00:00
CSCb,1992-02-09 15:30:00,1992-02-09 20:20:00
CSE,1992-02-09 20:30:00,1992-02-10 00:00:00
