CLASS,START,STOP
MP,1979-03-03 00:00:00,1979-03-03 19:30:00
CSE,1979-03-03 20:00:00,1979-03-04 11:59:59
CSE,1979-03-04 12:00:00,1979-03-06 03:00:00
CSCa,1979-03-06 05:13:16,1979-03-06 08:10:16
CSCa,1979-03-06 10:18:19,1979-03-06 14:15:27
CSCa,1979-03-06 15:48:07,1979-03-06 17:55:44
CSCa,1979-03-06 21:44:59,1979-03-06 23:52:24
CSCa,1979-03-07 01:32:17,1979-03-07 03:55:56
CSCa,1979-03-07 08:25:24,1979-03-07 10:21:11
CSCa,1979-03-07 12:00:00,1979-03-07 13:23:02
CSCa,1979-03-07 19:24:19,1979-03-07 20:35:39
CSCa,1979-03-07 22:22:06,1979-03-07 23:18:20
CSCa,1979-03-08 05:50:00,1979-03-08 07:00:00
CSCa,1979-03-08 08:30:00,1979-03-08 10:15:00
CSCa,1979-03-08 15:30:00,1979-03-08 16:35:00
CSCa,1979-03-08 17:30:00,1979-03-08 19:30:00
CSCa,1979-03-09 00:00:00,1979-03-09 02:30:00
CSCa,1979-03-09 04:45:00,1979-03-09 06:20:00
CSCa,1979-03-09 11:00:00,1979-03-09 13:30:00
CSCa,1979-03-09 13:45:00,1979-03-09 18:10:00
CSCa,1979-03-09 21:00:00,1979-03-10 02:00:00
CSCb,1979-03-10 09:10:00,1979-03-10 10:40:00
CSCb,1979-03-10 18:30:00,1979-03-10 21:20:00
CSCb,1979-03-11 03:45:00,1979-03-11 07:30:00
CSCb,1979-03-11 13:20:00,1979-03-11 17:20:00
CSCb,1979-03-11 22:00:00,1979-03-12 08:30:00
CSCb,1979-03-12 11:00:00,1979-03-12 14:00:00
CSCb,1979-03-12 20:00:00,1979-03-13 01:00:00
CSCb,1979-03-13 05:00:00,1979-03-13 13:30:00
MP,1979-03-13 15:00:00,1979-03-17 00:00:00
