CLASS,START,STOP
MP,1979-07-05 17:40:00,1979-07-05 19:00:00
CSCb,1979-07-07 04:15:00,1979-07-07 04:45:00
CSCa,1979-07-07 04:46:00,1979-07-07 06:15:00
CSCb,1979-07-07 07:30:00,1979-07-07 09:45:00
CSCa,1979-07-07 11:40:00,1979-07-07 13:00:00
CSCa,1979-07-07 15:30:00,1979-07-07 16:30:00
CSCb,1979-07-07 18:00:00,1979-07-07 20:00:00
CSCa,1979-07-07 22:00:00,1979-07-08 01:30:00
CSCa,1979-07-08 06:00:00,1979-07-08 13:00:00
CSE,1979-07-08 16:00:00,1979-07-08 23:59:00
CSE,1979-07-09 00:00:00,1979-07-11 06:00:00
CSCa,1979-07-11 08:00:00,1979-07-11 11:30:00
CSCa,1979-07-11 13:30:00,1979-07-11 16:20:00
CSCb,1979-07-11 18:45:00,1979-07-11 19:15:00
CSCa,1979-07-11 19:30:00,1979-07-11 21:00:00
CSCa,1979-07-12 00:30:00,1979-07-12 02:00:00
CSCa,1979-07-12 05:45:00,1979-07-12 07:40:00
CSCa,1979-07-12 11:00:00,1979-07-12 12:00:00
CSCa,1979-07-12 16:30:00,1979-07-12 17:45:00
CSCa,1979-07-12 21:00:00,1979-07-12 22:30:00
CSCa,1979-07-13 02:50:00,1979-07-13 04:15:00
CSCa,1979-07-13 06:30:00,1979-07-13 07:15:00
CSCb,1979-07-13 07:20:00,1979-07-13 08:40:00
CSCa,1979-07-13 13:45:00,1979-07-13 15:00:00
CSCa,1979-07-13 16:30:00,1979-07-13 18:00:00
MP,1979-07-14 00:30:00,1979-07-14 03:30:00
CSCa,1979-07-14 09:45:00,1979-07-14 11:30:00
CSCa,1979-07-14 12:20:00,1979-07-14 14:30:00
CSCa,1979-07-14 19:35:00,1979-07-14 21:00:00
CSCa,1979-07-15 05:15:00,1979-07-15 07:00:00
CSCa,1979-07-15 08:30:00,1979-07-15 09:45:00
CSCa,1979-07-15 16:00:00,1979-07-15 17:20:00
CSCa,1979-07-15 19:00:00,1979-07-15 20:15:00
CSCa,1979-07-16 12:40:00,1979-07-16 13:30:00
CSCa,1979-07-16 15:25:00,1979-07-16 15:50:00
CSCb,1979-07-16 22:30:00,1979-07-16 01:15:00
MP,1979-08-03 06:00:00,1979-08-03 17:00:00
MP,1979-08-03 02:40:00,1979-08-03 03:15:00
MP,1979-08-04 21:30:00,1979-08-04 22:30:00
MP,1979-08-05 06:00:00,1979-08-05 06:45:00
MP,1979-08-05 08:45:00,1979-08-05 10:00:00
CSCb,1979-08-05 11:15:00,1979-08-05 13:00:00
CSCa,1979-08-05 13:15:00,1979-08-05 14:00:00
MP,1979-08-05 18:00:00,1979-08-05 19:15:00
MP,1979-08-07 07:30:00,1979-08-07 08:30:00
MP,1979-08-11 13:00:00,1979-08-11 13:35:00
